State,Year,Degrees Fahrenheit,Anomaly
Arizona,1970,59,-0.8
Arizona,1971,58.2,-1.6
Arizona,1972,59.6,-0.2
Arizona,1973,58.4,-1.4
Arizona,1974,59.5,-0.3
Arizona,1975,57.9,-1.9
Arizona,1976,59,-0.8
Arizona,1977,60.2,0.4
Arizona,1978,59.8,0
Arizona,1979,58.8,-1
Arizona,1980,60.2,0.4
Arizona,1981,61.3,1.5
Arizona,1982,58.7,-1.1
Arizona,1983,59.2,-0.6
Arizona,1984,59.4,-0.4
Arizona,1985,59.6,-0.2
Arizona,1986,60.6,0.8
Arizona,1987,59.3,-0.5
Arizona,1988,60.2,0.4
Arizona,1989,61.2,1.4
Arizona,1990,59.7,-0.1
Arizona,1991,59.2,-0.6
Arizona,1992,59.6,-0.2
Arizona,1993,59.8,0
Arizona,1994,60.6,0.8
Arizona,1995,61,1.2
Arizona,1996,61.9,2.1
Arizona,1997,60.5,0.7
Arizona,1998,59.3,-0.5
Arizona,1999,60.8,1
Arizona,2000,61.7,1.9
Arizona,2001,61.2,1.4
Arizona,2002,61.2,1.4
Arizona,2003,61.9,2.1
Arizona,2004,60.4,0.6
Arizona,2005,61.1,1.3
Arizona,2006,61.1,1.3
Arizona,2007,61.6,1.8
Arizona,2008,60.6,0.8
Arizona,2009,61.1,1.3
Arizona,2010,60.4,0.6
Arizona,2011,60.3,0.5
Arizona,2012,62.1,2.3
Arizona,2013,60.4,0.6
Arizona,2014,62.2,2.4
Arizona,2015,61.8,2
Arizona,2016,62.2,2.4
Arizona,2017,63,3.2
Arizona,2018,62.3,2.5
Arizona,2019,60.3,0.5
Arizona,2020,62.6,2.8
Arizona,2021,62.1,2.3
